versicle_id,book_id,chapter_id,vNum,text_value
1,1,1,1,태초에 하나님이 우주를 창조하셨다.
2,1,1,2,지구는 아무 형태도 없이 텅 비어 흑암에 싸인 채 물로 뒤덮여 있었고 하나님의 영은 수면에 활동하고 계셨다.
3,1,1,3,그때 하나님이 “빛이 있으라” 하고 말씀하시자 빛이 나타났다.
4,1,1,4,그 빛은 하나님이 보시기에 좋았다. 하나님이 빛과 어두움을 나누어
5,1,1,5,빛을 낮이라 부르시고 어두움을 밤이라고 부르셨다. 저녁이 지나고 아침이 되자 이것이 첫째 날이었다.
6,1,1,8,그 공간을 하늘이라고 부르셨다. 저녁이 지나고 아침이 되자 이것이 둘째 날이었다.
7,1,1,9,하나님이 “하늘 아래 있는 물은 한 곳으로 모이고 뭍이 드러나라” 하시자 그대로 되었다.
8,1,1,10,하나님은 뭍을 땅이라 부르시고 모인 물을 바다라고 부르셨다. 이것은 하나님이 보시기에 좋았다.
9,1,1,11,하나님이 “땅은 온갖 채소와 씨 맺는 식물과 열매 맺는 과일 나무들을 그 종류대로 내어라” 하시자 그대로 되었다.
10,1,1,12,이렇게 땅이 온갖 채소와 씨 맺는 식물과 열매 맺는 과일 나무들을 그 종류대로 내니 하나님이 보시기에 좋았다.
11,1,1,13,저녁이 지나고 아침이 되자 이것이 셋째 날이었다.
12,1,1,16,"하나님은 두 개의 큰 광체를 만들어 큰 광체로 낮을, 작은 광체로 밤을 지배하게 하셨으며 또 별들도 만드셨다."
13,1,1,17,이렇게 하나님은 그 광체들을 하늘에 두어 땅을 비추게 하시고
14,1,1,18,밤과 낮을 지배하게 하시며 빛과 어두움을 구분하게 하셨다. 이것은 하나님이 보시기에 좋았다.
15,1,1,19,저녁이 지나고 아침이 되자 이것이 넷째 날이었다.
16,1,1,20,하나님이 “물에는 생물이 번성하고 공중에는 새가 날으라” 하고 말씀하셨다.
17,1,1,21,이와 같이 하나님은 거대한 바다 생물과 물에서 번성하는 갖가지 물고기와 날개 달린 온갖 새들을 창조하셨다. 이것은 하나님이 보시기에 좋았다.
18,1,1,22,하나님이 이것들을 다 축복하시며 “바다의 생물들은 번성하여 바다를 채우고 공중의 새들은 번성하여 땅을 채워라” 하셨다.
19,1,1,23,저녁이 지나고 아침이 되자 이것이 다섯째 날이었다.
20,1,1,24,"하나님이 “땅은 온갖 생물, 곧 가축과 땅에 기어다니는 것과 들짐승을 그 종류대로 내어라” 하시자 그대로 되었다."
21,1,1,25,이렇게 하나님은 들짐승과 가축과 땅에 기어다니는 모든 생물을 만드셨다. 이것은 하나님이 보시기에 좋았다.
22,1,1,26,그러고서 하나님은 “우리의 모습을 닮은 사람을 만들어 바다의 고기와 공중의 새와 가축과 온 땅과 땅에 기어다니는 모든 생물을 지배하게 하자” 하시고
23,1,1,27,"자기 모습을 닮은 사람, 곧 남자와 여자를 창조하셨다."
24,1,1,28,그리고 하나님은 그들을 축복하여 이렇게 말씀하셨다. “너희는 많은 자녀를 낳고 번성하여 땅을 가득 채워라. 땅을 정복하라. 바다의 고기와 공중의 새와 땅의 모든 생물을 지배하라.
25,1,1,29,내가 온 땅의 씨 맺는 식물과 열매 맺는 모든 나무를 너희에게 주었으니 그것이 너희 양식이 될 것이다.
26,1,1,30,그리고 땅의 모든 짐승과 공중의 모든 새와 땅에서 움직이는 모든 생물들에게는 푸른 풀과 식물을 내가 먹이로 주었다.”
27,1,1,31,하나님이 자기가 창조한 것을 보시니 모든 것이 아주 훌륭하였다. 저녁이 지나고 아침이 되자 이것이 여섯째 날이었다.
28,1,1,67,하나님이 “물 가운데 넓은 공간이 생겨 물과 물이 나누어져라” 하시자 그대로 되었다. 이렇게 하나님은 공간을 만들어 공간 아래의 물과 공간 위의 물로 나누시고
29,1,1,1415,하나님이 “하늘에 광체가 나타나 땅을 비추고 낮과 밤을 나누어라. 그리고 날과 해와 계절을 구분하라” 하시자 그대로 되었다.
30,1,2,1,이렇게 해서 우주가 완성되었다.
31,1,2,2,하나님은 모든 일을 마치시고 일곱 째 날에 쉬셨다.
32,1,2,3,이와 같이 하나님은 창조하시던 일을 마친 다음에 일곱째 날에 쉬시고 이 날을 축복하여 거룩하게 하셨다.
33,1,2,4,여호와 하나님이 세상을 창조하신 일은 대충 이렇다:
34,1,2,5,여호와 하나님이 땅에 비를 내리지 않으셨고 경작할 사람도 없었으므로 들에는 나무나 풀이 아직 없었고 밭에는 채소가 나지 않았으며
35,1,2,6,증기만 땅에서 올라와 온 지면을 적셨다.
36,1,2,7,그때 여호와 하나님이 땅의 티끌로 사람을 만들어 그 코에 생기를 불어넣으시자 산 존재가 되었다.
37,1,2,8,그리고 여호와 하나님은 에덴 동쪽에 동산을 만들어 자기가 지은 사람을 거기에 두시고
38,1,2,9,갖가지 아름다운 나무가 자라 맛있는 과일이 맺히게 하셨는데 그 동산 중앙에는 생명 나무와 선악을 알게 하는 나무도 있었다.
39,1,2,10,에덴에 강이 생겨 동산을 적시며 흐르다가 거기서 다시 네 강으로 갈라졌다.
40,1,2,13,그리고 둘째는 기혼강이며 구스 땅을 가로질러 흘렀고
41,1,2,14,셋째는 티그리스강으로 앗시리아 동쪽으로 흘렀으며 넷째는 유프라테스강이었다.
42,1,2,15,여호와 하나님은 자기가 만든 사람을 에덴 동산에 두어 그 곳을 관리하며 지키게 하시고
43,1,2,16,그에게 이렇게 말씀하셨다. “네가 동산에 있는 과일을 마음대로 먹을 수 있으나
44,1,2,17,단 한 가지 선악을 알게 하는 과일만은 먹지 말아라. 그것을 먹으면 네가 반드시 죽을 것이다.”
45,1,2,18,그리고 여호와 하나님은 “사람이 혼자 사는 것이 좋지 못하니 내가 그를 도울 적합한 짝을 만들어 주겠다” 하고 말씀하셨다.
46,1,2,19,"여호와 하나님이 흙으로 온갖 들짐승과 새를 만드시고, 아담이 어떻게 이름을 짓나 보시려고 그것들을 그에게 이끌고 가시니 아담이 각 생물들을 부르는 것이 바로 그 생물들의 이름이 되었다."
47,1,2,20,이와 같이 아담이 모든 가축과 공중의 새와 들짐승의 이름을 지어 주었지만 그를 도울 적합한 짝이 없었다.
48,1,2,21,그래서 여호와 하나님은 아담을 깊이 잠들게 하시고 그가 자고 있는 동안 그의 갈빗대 하나를 뽑아내고 그 자리를 대신 살로 채우셨다.
49,1,2,22,여호와 하나님이 아담에게서 뽑아낸 그 갈빗대로 여자를 만드시고 그녀를 아담에게 데려오시자
50,1,2,23,아담이 이렇게 외쳤다. “이는 내 뼈 중의 뼈요 살 중의 살이구나! 남자에게서 나왔으니 이를 여자라고 부르리라.”
51,1,2,24,그러므로 남자가 부모를 떠나 자기 아내와 합하여 두 사람이 한몸이 될 것이다.
52,1,2,25,아담과 그의 아내가 다 같이 벌거벗었으나 그들은 부끄러워하지 않았다.
53,1,2,1112,그 첫째는 비손강으로 순금과 진귀한 향료와 보석이 있는 하윌라 땅을 굽이쳐 흘렀다.
54,1,3,1,여호와 하나님이 창조하신 동물 중에서 뱀이 가장 교활하였다. 뱀이 여자에게 “하나님이 정말 너희에게 동산에 있는 모든 과일을 먹지 말라고 하셨느냐?” 하고 묻자
55,1,3,2,여자가 뱀에게 대답하였다. “우리가 동산의 과일을 먹을 수 있으나
56,1,3,3,동산 중앙에 있는 과일은 하나님이 ‘먹지도 말고 만지지도 말아라. 그렇지 않으면 너희가 죽게 될 것이다’ 라고 말씀하셨다.”
57,1,3,4,그때 뱀이 여자에게 “너희는 절대로 죽지 않을 것이다.
58,1,3,5,하나님이 너희에게 그렇게 말씀하신 것은 너희가 그것을 먹으면 눈이 밝아져서 하나님과 같이 되어 선악을 분별하게 될 것을 하나님이 아셨기 때문이다” 하고 말하였다.
59,1,3,6,여자가 그 나무의 과일을 보니 먹음직스럽고 보기에 아름다우며 지혜롭게 할 만큼 탐스럽기도 하였다. 그래서 여자가 그 과일을 따서 먹고 자기 남편에게 주니 그도 그것을 먹었다.
60,1,3,7,그러자 갑자기 그들의 눈이 밝아져서 자기들이 벌거벗은 것을 알게 되었다. 그래서 그들은 무화과나무 잎을 엮어서 치마를 만들어 몸을 가렸다.
61,1,3,8,"그 날 저녁, 날이 서늘할 때에 아담과 그의 아내는 여호와 하나님이 동산에서 거니시는 소리를 듣고 그분의 낯을 피하여 동산 나무 사이에 숨었다."
62,1,3,9,"그때 여호와 하나님이 아담을 불러 물었다. “아담아, 네가 어디 있느냐?”"
63,1,3,10,"“내가 동산에서 하나님이 거니시는 소리를 듣고, 벗었으므로 두려워 숨었습니다.”"
64,1,3,11,“네가 벗은 것을 누가 너에게 말해 주었느냐? 내가 먹지 말라고 한 과일을 네가 먹었구나!”
65,1,3,12,“하나님이 나와 함께 있게 하신 여자가 그 과일을 주어서 내가 먹었습니다.”
66,1,3,13,그때 여호와 하나님이 여자에게 “네가 어째서 이렇게 하였느냐?” 하고 묻자 여자는 “뱀이 꾀어서 내가 먹었습니다” 하고 대답하였다.
67,1,3,14,그래서 여호와 하나님이 뱀에게 말씀하셨다. “네가 이런 짓을 하였으니 모든 가축과 들짐승보다 더욱 저주를 받아 지금부터 배로 기어다니고 죽을 때까지 흙을 먹을 것이다.
68,1,3,15,내가 너를 여자와 원수가 되게 하고 너의 후손도 여자의 후손과 원수가 되게 하겠다. 여자의 후손이 네 머리를 상하게 할 것이며 너는 그의 발꿈치를 상하게 할 것이다.”
69,1,3,16,"그리고 하나님이 여자에게 말씀하셨다. “내가 너에게 임신하는 고통을 크게 더할 것이니 네가 진통을 겪으며 자식을 낳을 것이요, 너는 남편을 사모하고 남편은 너를 다스릴 것이다.”"
70,1,3,17,그러고서 하나님은 아담에게 말씀하셨다. “네가 네 아내의 말을 듣고 내가 먹지 말라고 한 과일을 먹었으니 땅은 너 때문에 저주를 받고 너는 평생 동안 수고해야 땅의 생산물을 먹게 될 것이다.
71,1,3,18,땅은 너에게 가시와 엉겅퀴를 낼 것이며 너는 들의 채소를 먹어야 할 것이다.
72,1,3,19,너는 이마에 땀을 흘리며 고되게 일을 해서 먹고 살다가 마침내 흙으로 돌아갈 것이다. 이것은 네가 흙으로 만들어졌기 때문이다. 너는 흙이므로 흙으로 돌아갈 것이다.”
73,1,3,20,아담은 자기 아내의 이름을 ‘이브’ 라고 지었는데 이것은 그녀가 온 인류의 어머니가 되었기 때문이다.
74,1,3,21,그리고 여호와 하나님은 아담과 그의 아내에게 가죽옷을 만들어 입히셨다.
75,1,3,22,여호와 하나님이 “이제 사람이 우리 중 하나같이 되어 선악을 알게 되었으니 그가 생명 나무의 과일을 따먹고 영원히 살게 해서는 안 된다” 하시고
76,1,3,23,그 사람을 에덴 동산에서 추방하여 그의 구성 원소인 땅을 경작하게 하셨다.
77,1,3,24,이와 같이 하나님은 그 사람을 쫓아내시고 에덴 동산 동쪽에 그룹 천사들을 배치하여 사방 도는 화염검으로 생명 나무의 길을 지키게 하셨다.
78,1,4,1,아담의 아내 이브가 임신하여 아들을 낳고 “내가 여호와의 도움으로 남자 아이를 얻었다” 하며 그 이름을 가인이라고 지었다.
79,1,4,2,이브는 또 가인의 동생 아벨을 낳았는데 아벨은 양치는 목자였고 가인은 농사짓는 사람이었다.
80,1,4,3,추수 때가 되어 가인은 자기 농산물을 여호와께 예물로 드렸고
81,1,4,4,아벨은 자기 양의 첫새끼를 잡아 그 중에서도 제일 살지고 좋은 부분을 여호와께 드렸다. 여호와께서는 아벨의 예물을 기쁘게 받으셨으나
82,1,4,5,가인의 예물은 받지 않으셨다. 이 일로 가인이 화를 내며 얼굴을 찡그리자
83,1,4,6,여호와께서 가인에게 말씀하셨다. “네가 어째서 화를 내느냐? 네가 무엇 때문에 얼굴을 찡그리느냐?
84,1,4,7,네가 옳은 일을 했다면 왜 내가 네 예물을 받지 않았겠느냐? 그러나 네가 옳은 일을 하지 않으면 죄가 네 문 앞에 도사리고 앉을 것이다. 죄가 너를 다스리고 싶어하여도 너는 죄를 이겨야 한다.”
85,1,4,8,하루는 가인이 자기 동생 아벨에게 들로 나가자고 하였다. 그런데 그들이 들에 있을 때에 가인이 동생 아벨을 쳐죽이고 말았다.
86,1,4,9,그때 여호와께서 가인에게 “네 동생 아벨이 어디 있느냐?” 하고 물으시자 가인이 “나는 모릅니다. 내가 동생을 지키는 자입니까?” 하고 대답하였다.
87,1,4,10,그때 여호와께서 말씀하셨다. “네가 무엇을 하였느냐? 네 동생의 피가 땅에서 나에게 호소하고 있다.
88,1,4,11,땅이 입을 벌려 네 손에서 떨어지는 네 동생의 피를 받았으니 이제 너는 땅에서 저주를 받았다.
89,1,4,12,네가 밭을 갈아도 땅이 너를 위해 농산물을 내지 않을 것이며 너는 땅에서 집 없이 떠돌아다니는 방랑자가 될 것이다.”
90,1,4,13,그러자 가인이 이렇게 말하였다. “내 벌이 너무 가혹하여 감당할 수 없습니다.
91,1,4,14,주께서 오늘 이 땅에서 나를 쫓아내시니 내가 다시는 주를 뵙지 못하고 떠돌아다니는 방랑자가 되어 나를 만나는 자에게 죽음을 당할 것입니다.”
92,1,4,15,그러나 여호와께서는 “그렇지 않다. 누구든지 가인을 죽이는 자는 벌을 7배나 받을 것이다” 하시고 가인에게 표를 주어 아무도 그를 죽이지 못하게 하셨다.
93,1,4,16,그래서 가인은 여호와 앞을 떠나 에덴 동쪽의 놋 땅에서 살았다.
94,1,4,17,가인의 아내가 임신하여 에녹을 낳았다. 가인은 성을 건설하고 자기 아들의 이름을 따서 그 성을 에녹성이라고 불렀다.
95,1,4,18,"그리고 에녹은 이랏을 낳았고 이랏은 므후야엘을, 므후야엘은 므드사엘을, 므드사엘은 라멕을 낳았다."
