versicle_id,book_id,chapter_id,vNum,text_value
1,1,1,1,In the beginning God created the heavens and the earth.
2,1,1,2,"The earth was formless and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters."
3,1,1,3,"Then God said, “Let there be light,” and there was light."
4,1,1,4,And God saw that the light was good. Then he separated the light from the darkness.
5,1,1,5,"God called the light “day” and the darkness “night.” And evening passed and morning came, marking the first day."
6,1,1,6,"Then God said, “Let there be a space between the waters, to separate the waters of the heavens from the waters of the earth.”"
7,1,1,7,And that is what happened. God made this space to separate the waters of the earth from the waters of the heavens.
8,1,1,8,"God called the space “sky.” And evening passed and morning came, marking the second day."
9,1,1,9,"Then God said, “Let the waters beneath the sky flow together into one place, so dry ground may appear.” And that is what happened."
10,1,1,10,God called the dry ground “land” and the waters “seas.” And God saw that it was good.
11,1,1,11,"Then God said, “Let the land sprout with vegetation—every sort of seed-bearing plant, and trees that grow seed-bearing fruit. These seeds will then produce the kinds of plants and trees from which they came.” And that is what happened."
12,1,1,12,"The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same kind. And God saw that it was good."
13,1,1,13,"And evening passed and morning came, marking the third day."
14,1,1,14,"Then God said, “Let lights appear in the sky to separate the day from the night. Let them be signs to mark the seasons, days, and years."
15,1,1,15,Let these lights in the sky shine down on the earth.” And that is what happened.
16,1,1,16,"God made two great lights—the larger one to govern the day, and the smaller one to govern the night. He also made the stars."
17,1,1,17,"God set these lights in the sky to light the earth,"
18,1,1,18,"to govern the day and night, and to separate the light from the darkness. And God saw that it was good."
19,1,1,19,"And evening passed and morning came, marking the fourth day."
20,1,1,20,"Then God said, “Let the waters swarm with fish and other life. Let the skies be filled with birds of every kind.”"
21,1,1,21,"So God created great sea creatures and every living thing that scurries and swarms in the water, and every sort of bird—each producing offspring of the same kind. And God saw that it was good."
22,1,1,22,"Then God blessed them, saying, “Be fruitful and multiply. Let the fish fill the seas, and let the birds multiply on the earth.”"
23,1,1,23,"And evening passed and morning came, marking the fifth day."
