versicle_id,book_id,chapter_id,vNum,text_value
1,1,1,1,"En el principio, Dios creó los cielos y la tierra."
2,1,1,2,"La tierra no tenía forma y estaba vacía, y la oscuridad cubría las aguas profundas; y el Espíritu de Dios se movía en el aire sobre la superficie de las aguas."
3,1,1,3,Entonces Dios dijo: «Que haya luz»; y hubo luz.
4,1,1,4,Y Dios vio que la luz era buena. Luego separó la luz de la oscuridad.
5,1,1,5,"Dios llamó a la luz «día» y a la oscuridad «noche». Y pasó la tarde y llegó la mañana, así se cumplió el primer día."
6,1,1,6,"Entonces Dios dijo: «Que haya un espacio entre las aguas, para separar las aguas de los cielos de las aguas de la tierra»;"
7,1,1,7,y eso fue lo que sucedió. Dios formó ese espacio para separar las aguas de la tierra de las aguas de los cielos
8,1,1,8,"y Dios llamó al espacio «cielo». Y pasó la tarde y llegó la mañana, así se cumplió el segundo día."
9,1,1,9,"Entonces Dios dijo: «Que las aguas debajo del cielo se junten en un solo lugar, para que aparezca la tierra seca»; y eso fue lo que sucedió."
10,1,1,10,Dios llamó a lo seco «tierra» y a las aguas «mares». Y Dios vio que esto era bueno.
11,1,1,11,"Después Dios dijo: «Que de la tierra brote vegetación: toda clase de plantas con semillas y árboles que den frutos con semillas. Estas semillas producirán, a su vez, las mismas clases de plantas y árboles de los que provinieron»; y eso fue lo que sucedió."
12,1,1,12,La tierra produjo vegetación: toda clase de plantas con semillas y árboles que dan frutos con semillas. Las semillas produjeron plantas y árboles de la misma clase. Y Dios vio que esto era bueno.
13,1,1,13,"Y pasó la tarde y llegó la mañana, así se cumplió el tercer día."
14,1,1,14,"Entonces Dios dijo: «Que aparezcan luces en el cielo para separar el día de la noche; que sean señales para que marquen las estaciones, los días y los años."
15,1,1,15,Que esas luces en el cielo brillen sobre la tierra»; y eso fue lo que sucedió.
16,1,1,16,"Dios hizo dos grandes luces: la más grande para que gobernara el día, y la más pequeña para que gobernara la noche. También hizo las estrellas."
17,1,1,17,"Dios puso esas luces en el cielo para iluminar la tierra,"
18,1,1,18,"para que gobernaran el día y la noche, y para separar la luz de la oscuridad. Y Dios vio que esto era bueno."
19,1,1,19,"Y pasó la tarde y llegó la mañana, así se cumplió el cuarto día."
20,1,1,20,Entonces Dios dijo: «Que las aguas se colmen de peces y de otras formas de vida. Que los cielos se llenen de aves de toda clase».
21,1,1,21,"Así que Dios creó grandes criaturas marinas y todos los seres vivientes que se mueven y se agitan en el agua y aves de todo tipo, cada uno produciendo crías de la misma especie. Y Dios vio que esto era bueno."
22,1,1,22,Entonces Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Que los peces llenen los mares y las aves se multipliquen sobre la tierra».
23,1,1,23,"Y pasó la tarde y llegó la mañana, así se cumplió el quinto día."
24,1,1,24,"Entonces Dios dijo: «Que la tierra produzca toda clase de animales, que cada uno produzca crías de la misma especie: animales domésticos, animales pequeños que corran por el suelo y animales salvajes»; y eso fue lo que sucedió."
25,1,1,25,"Dios hizo toda clase de animales salvajes, animales domésticos y animales pequeños; cada uno con la capacidad de producir crías de la misma especie. Y Dios vio que esto era bueno."
26,1,1,26,"Entonces Dios dijo: «Hagamos a los seres humanos a nuestra imagen, para que sean como nosotros. Ellos reinarán sobre los peces del mar, las aves del cielo, los animales domésticos, todos los animales salvajes de la tierra y los animales pequeños que corren por el suelo»."
27,1,1,27,Así que Dios creó a los seres humanos a su propia imagen. A imagen de Dios los creó; hombre y mujer los creó.
28,1,1,28,"Luego Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Llenen la tierra y gobiernen sobre ella. Reinen sobre los peces del mar, las aves del cielo y todos los animales que corren por el suelo»."
29,1,1,29,Entonces Dios dijo: «¡Miren! Les he dado todas las plantas con semilla que hay sobre la tierra y todos los árboles frutales para que les sirvan de alimento.
30,1,1,30,"Y he dado toda planta verde como alimento para todos los animales salvajes, para las aves del cielo y para los animales pequeños que corren por el suelo, es decir, para todo lo que tiene vida»; y eso fue lo que sucedió."
31,1,1,31,"Entonces Dios miró todo lo que había hecho, ¡y vio que era muy bueno! Y pasó la tarde y llegó la mañana, así se cumplió el sexto día."
32,1,2,1,"Así quedó terminada la creación de los cielos y de la tierra, y de todo lo que hay en ellos."
33,1,2,2,"Cuando llegó el séptimo día, Dios ya había terminado su obra de creación, y descansó de toda su labor."
34,1,2,3,"Dios bendijo el séptimo día y lo declaró santo, porque ese fue el día en que descansó de toda su obra de creación."
35,1,2,4,"Este es el relato de la creación de los cielos y la tierra. Cuando el Señor Dios hizo la tierra y los cielos,"
36,1,2,5,"no crecían en ella plantas salvajes ni grano porque el Señor Dios aún no había enviado lluvia para regar la tierra, ni había personas que la cultivaran."
37,1,2,6,"En cambio, del suelo brotaban manantiales que regaban toda la tierra."
38,1,2,7,"Luego el Señor Dios formó al hombre del polvo de la tierra. Sopló aliento de vida en la nariz del hombre, y el hombre se convirtió en un ser viviente."
39,1,2,8,"Después, el Señor Dios plantó un huerto en Edén, en el oriente, y allí puso al hombre que había formado."
40,1,2,9,El Señor Dios hizo que crecieran del suelo toda clase de árboles: árboles hermosos y que daban frutos deliciosos. En medio del huerto puso el árbol de la vida y el árbol del conocimiento del bien y del mal.
41,1,2,10,Un río salía de la tierra del Edén que regaba el huerto y después se dividía en cuatro ramales.
42,1,2,11,"El primero, llamado Pisón, rodeaba toda la tierra de Havila, donde hay oro."
43,1,2,12,El oro de esa tierra es excepcionalmente puro; también se encuentran allí resinas aromáticas y piedras de ónice.
44,1,2,13,"El segundo, llamado Gihón, rodeaba toda la tierra de Cus."
45,1,2,14,"El tercero, llamado Tigris, corría al oriente de la tierra de Asiria. El cuarto se llama Éufrates."
46,1,2,15,El Señor Dios puso al hombre en el jardín de Edén para que se ocupara de él y lo custodiara;
47,1,2,16,"pero el Señor Dios le advirtió: «Puedes comer libremente del fruto de cualquier árbol del huerto,"
48,1,2,17,"excepto del árbol del conocimiento del bien y del mal. Si comes de su fruto, sin duda morirás»."
49,1,2,18,"Después, el Señor Dios dijo: «No es bueno que el hombre esté solo. Haré una ayuda ideal para él»."
50,1,2,19,"Entonces el Señor Dios formó de la tierra todos los animales salvajes y todas las aves del cielo. Los puso frente al hombre para ver cómo los llamaría, y el hombre escogió un nombre para cada uno de ellos."
51,1,2,20,"Puso nombre a todos los animales domésticos, a todas las aves del cielo y a todos los animales salvajes; pero aún no había una ayuda ideal para él."
52,1,2,21,"Entonces el Señor Dios hizo que el hombre cayera en un profundo sueño. Mientras el hombre dormía, el Señor Dios le sacó una de sus costillas y cerró la abertura."
53,1,2,22,"Entonces el Señor Dios hizo de la costilla a una mujer, y la presentó al hombre."
54,1,2,23,«¡Al fin!—exclamó el hombre—. ¡Esta es hueso de mis huesos y carne de mi carne! Ella será llamada “mujer” porque fue tomada del hombre».
55,1,2,24,"Esto explica por qué el hombre deja a su padre y a su madre, y se une a su esposa, y los dos se convierten en uno solo."
56,1,2,25,"Ahora bien, el hombre y su esposa estaban desnudos, pero no sentían vergüenza."
57,1,3,1,La serpiente era el más astuto de todos los animales salvajes que el Señor Dios había hecho. Cierto día le preguntó a la mujer: —¿De veras Dios les dijo que no deben comer del fruto de ninguno de los árboles del huerto?
58,1,3,2,—Claro que podemos comer del fruto de los árboles del huerto—contestó la mujer—.
59,1,3,3,"Es solo del fruto del árbol que está en medio del huerto del que no se nos permite comer. Dios dijo: “No deben comerlo, ni siquiera tocarlo; si lo hacen, morirán”."
60,1,3,4,—¡No morirán!—respondió la serpiente a la mujer—.
61,1,3,5,"Dios sabe que, en cuanto coman del fruto, se les abrirán los ojos y serán como Dios, con el conocimiento del bien y del mal."
62,1,3,6,"La mujer quedó convencida. Vio que el árbol era hermoso y su fruto parecía delicioso, y quiso la sabiduría que le daría. Así que tomó del fruto y lo comió. Después le dio un poco a su esposo que estaba con ella, y él también comió."
63,1,3,7,"En ese momento, se les abrieron los ojos, y de pronto sintieron vergüenza por su desnudez. Entonces cosieron hojas de higuera para cubrirse."
64,1,3,8,"Cuando soplaba la brisa fresca de la tarde, el hombre y su esposa oyeron al Señor Dios caminando por el huerto. Así que se escondieron del Señor Dios entre los árboles."
65,1,3,9,Entonces el Señor Dios llamó al hombre: —¿Dónde estás?
66,1,3,10,"El hombre contestó: —Te oí caminando por el huerto, así que me escondí. Tuve miedo porque estaba desnudo."
