versicle_id,book_id,chapter_id,vNum,text_value
1,1,1,1,En el principio Dios creó los cielos y la tierra.
2,1,1,2,"La tierra no tenía forma y estaba vacía, las tinieblas cubrían el abismo y el Espíritu de Dios se movía sobre la superficie de las aguas."
3,1,1,3,Y dijo Dios: «¡Que haya luz!». Y la luz llegó a existir.
4,1,1,4,Dios consideró que la luz era buena y la separó de las tinieblas.
5,1,1,5,"A la luz la llamó «día» y a las tinieblas, «noche». Vino la noche y llegó la mañana: ese fue el primer día."
6,1,1,6,Y dijo Dios: «¡Que haya una expansión en medio de las aguas y que las separe!».
7,1,1,7,Y así sucedió. Dios hizo la expansión que separó las aguas que están debajo de las aguas que están arriba.
8,1,1,8,A esta expansión Dios la llamó «cielo». Vino la noche y llegó la mañana: ese fue el segundo día.
9,1,1,9,Y dijo Dios: «¡Que las aguas debajo del cielo se reúnan en un solo lugar y que aparezca lo seco!». Y así sucedió.
10,1,1,10,A lo seco Dios lo llamó «tierra» y al conjunto de aguas lo llamó «mares». Y Dios consideró que esto era bueno.
11,1,1,11,"Luego dijo Dios: «¡Que haya vegetación sobre la tierra; que esta produzca hierbas que den semilla y árboles que den fruto con semilla, todos según su especie!». Y así sucedió."
12,1,1,12,"Comenzó a brotar la vegetación: hierbas que dan semilla y árboles que dan fruto con semilla, todos según su especie. Y Dios consideró que esto era bueno."
13,1,1,13,Vino la noche y llegó la mañana: ese fue el tercer día.
14,1,1,14,"Y dijo Dios: «¡Que haya luces en la expansión del cielo que separen el día de la noche; que sirvan como señales de las estaciones, de los días y de los años,"
15,1,1,15,y que brillen en la expansión del cielo para iluminar la tierra!». Y sucedió así.
16,1,1,16,Dios hizo los dos grandes astros: el astro mayor para gobernar el día y el menor para gobernar la noche. También hizo las estrellas.
17,1,1,17,Dios colocó en la expansión del cielo los astros para alumbrar la tierra.
18,1,1,18,Los hizo para gobernar el día y la noche y para separar la luz de las tinieblas. Y Dios consideró que esto era bueno.
19,1,1,19,Vino la noche y llegó la mañana: ese fue el cuarto día.
20,1,1,20,Y dijo Dios: «¡Que las aguas se llenen de seres vivientes y que vuelen las aves sobre la tierra a lo largo de la expansión del cielo!».
21,1,1,21,"Y creó Dios los grandes animales marinos, todos los seres vivientes que se mueven y llenan las aguas; también creó todas las aves, según su especie. Y Dios consideró que esto era bueno"
22,1,1,22,y los bendijo con estas palabras: «¡Sean fructíferos y multiplíquense; llenen las aguas de los mares! ¡Que las aves se multipliquen sobre la tierra!».
23,1,1,23,Vino la noche y llegó la mañana: ese fue el quinto día.
