book_id,name,version
1,Génesis,RV-1960
2,Éxodo,RV-1960
3,Levítico,RV-1960
4,Números,RV-1960
5,Deuteronomio,RV-1960
6,Josué,RV-1960
7,Jueces,RV-1960
8,Rut,RV-1960
9,1 Samuel,RV-1960
10,2 Samuel,RV-1960
11,1 Reyes,RV-1960
12,2 Reyes,RV-1960
13,1 Crónicas,RV-1960
14,2 Crónicas,RV-1960
15,Esdras,RV-1960
16,Nehemías,RV-1960
17,Ester,RV-1960
18,Job,RV-1960
19,Salmos,RV-1960
20,Proverbios,RV-1960
21,Eclesiastés,RV-1960
22,Cantares,RV-1960
23,Isaías,RV-1960
24,Jeremías,RV-1960
25,Lamentaciones,RV-1960
26,Ezequiel,RV-1960
27,Daniel,RV-1960
28,Oseas,RV-1960
29,Joel,RV-1960
30,Amós,RV-1960
31,Abdías,RV-1960
32,Jonás,RV-1960
33,Miqueas,RV-1960
34,Nahúm,RV-1960
35,Habacuc,RV-1960
36,Sofonías,RV-1960
37,Hageo,RV-1960
38,Zacarías,RV-1960
39,Malaquías,RV-1960
40,Mateo,RV-1960
41,Marcos,RV-1960
42,Lucas,RV-1960
43,Juan,RV-1960
44,Hechos,RV-1960
45,Romanos,RV-1960
46,1 Corintios,RV-1960
47,2 Corintios,RV-1960
48,Gálatas,RV-1960
49,Efesios,RV-1960
50,Filipenses,RV-1960
51,Colosenses,RV-1960
52,1 Tesalonicenses,RV-1960
53,2 Tesalonicenses,RV-1960
54,1 Timoteo,RV-1960
55,2 Timoteo,RV-1960
56,Tito,RV-1960
57,Filemón,RV-1960
58,Hebreos,RV-1960
59,Santiago,RV-1960
60,1 Pedro,RV-1960
61,2 Pedro,RV-1960
62,1 Juan,RV-1960
63,2 Juan,RV-1960
64,3 Juan,RV-1960
65,Judas,RV-1960
66,Apocalipsis,RV-1960
