book_id,name,version
1,Génesis,RVA-2015
2,Éxodo,RVA-2015
3,Levítico,RVA-2015
4,Números,RVA-2015
5,Deuteronomio,RVA-2015
6,Josué,RVA-2015
7,Jueces,RVA-2015
8,Rut,RVA-2015
9,1 Samuel,RVA-2015
10,2 Samuel,RVA-2015
11,1 Reyes,RVA-2015
12,2 Reyes,RVA-2015
13,1 Crónicas,RVA-2015
14,2 Crónicas,RVA-2015
15,Esdras,RVA-2015
16,Nehemías,RVA-2015
17,Ester,RVA-2015
18,Job,RVA-2015
19,Salmos,RVA-2015
20,Proverbios,RVA-2015
21,Eclesiastés,RVA-2015
22,Cantares,RVA-2015
23,Isaías,RVA-2015
24,Jeremías,RVA-2015
25,Lamentaciones,RVA-2015
26,Ezequiel,RVA-2015
27,Daniel,RVA-2015
28,Oseas,RVA-2015
29,Joel,RVA-2015
30,Amós,RVA-2015
31,Abdías,RVA-2015
32,Jonás,RVA-2015
33,Miqueas,RVA-2015
34,Nahúm,RVA-2015
35,Habacuc,RVA-2015
36,Sofonías,RVA-2015
37,Hageo,RVA-2015
38,Zacarías,RVA-2015
39,Malaquías,RVA-2015
40,Mateo,RVA-2015
41,Marcos,RVA-2015
42,Lucas,RVA-2015
43,Juan,RVA-2015
44,Hechos,RVA-2015
45,Romanos,RVA-2015
46,1 Corintios,RVA-2015
47,2 Corintios,RVA-2015
48,Gálatas,RVA-2015
49,Efesios,RVA-2015
50,Filipenses,RVA-2015
51,Colosenses,RVA-2015
52,1 Tesalonicenses,RVA-2015
53,2 Tesalonicenses,RVA-2015
54,1 Timoteo,RVA-2015
55,2 Timoteo,RVA-2015
56,Tito,RVA-2015
57,Filemón,RVA-2015
58,Hebreos,RVA-2015
59,Santiago,RVA-2015
60,1 Pedro,RVA-2015
61,2 Pedro,RVA-2015
62,1 Juan,RVA-2015
63,2 Juan,RVA-2015
64,3 Juan,RVA-2015
65,Judas,RVA-2015
66,Apocalipsis,RVA-2015
